sent_id,subj,pred,obj
18,范围,包括,工程
56,助理,交,材料
78,主任,阅读,手册
87,项目,采用,系统
90,主任,具有,功能
117,设计,经过,分析
118,软件,减轻,劳动强度
133,主任,提出,要求
136,主任,让,助理
151,环境,产生,吸引力
166,总监,发现,问题
189,事物,作为,基础
211,主任,提醒,助理
212,会议,讨论,问题
217,边坡,分成,部分
221,会议,解决,问题
236,队长,加强,管理
289,助理,发现,问题
307,主任,欢迎,助理
308,助理,谢谢,主任
311,主任,设置,工位
314,环节,出,问题
347,发展,使,地球
382,技术,通过,认证
399,例会,进行,讨论
427,技术,处于,水平
436,人员,保持,联系
436,人员,推动,关系
450,助理,做,检查
455,助理,进行,管理
473,材料,翻译,英语
485,凡事,有,过程
551,命运,取决于,结果
569,周成,提供,信息
571,文件,包括,资料
613,问题,影响,质量
643,谈判,做出,评价
646,条件,进行,磋商
705,单位,通报,情况
733,员工,招聘,人物
742,发展,取决于,人际关系
742,关键,取决于,人际关系
819,质量,有所,差别
875,用户,提供,条件
883,资料,存在,问题
887,时间,出现,索赔
891,诉求,未予,支持
894,问题,承担,责任
908,问题,有,价值
940,单位,受,委托
959,阶段,进行,调查研究
966,设计,涉及,质量
977,句子,包含,关系
985,系统,提供,方便
1008,管理,注意,问题
1030,工程,需要,合作
1049,父母,会,时间
1091,内容,包括,方面
1110,管理,分为,项目
1123,手机,回答,问题
1151,二氧化碳,压入,水中
1154,身体,吸收,二氧化碳
1207,二氧化碳,压,水中
1231,北方,获得,太阳
1287,阿尔玛,做,练习
1297,爸爸,回答,问题
1307,现象,叫做,蒸发
1309,水蒸气,凝结,水滴
1338,练习,得到,结论
1360,快慢,有,关系
1386,形容词,有,意思
1406,二氧化碳,进入,里边
1425,浮力,放入,水中
1429,铁块,受到,浮力
1434,物体,受到,浮力
1435,浮力,等于,重量
1438,浮力,使,铁块
1439,浮力,大于,重量
1468,浮力,托,铁块
1501,太阳光,直射,南半球
1516,周围,覆盖,空气
1517,空气,有,压力
1525,身上,受到,压力
1527,里边,受到,压力
1528,物体,受到,压力
1545,大气,有,压力
1553,句子,常用,呼应
1579,科学家,进行,研究
1580,问题,得到,解决
1592,周围,存在,大气层
1678,说明,产生,结果
1678,条件,产生,结果
1681,物体,沉,水底
1703,词语,连成,句子
1714,蜂巢,有,关系
1730,蜜蜂,做成,结构
1730,蜂巢,做成,结构
1770,重量,等于,浮力
1826,温度,到,16℃
1826,人口,说出,答案
1873,物质,受到,作用
1884,物体,受到,作用
1898,东西,改变,性质
1898,空气,变成,液体
1898,二氧化碳,变成,固体
1898,物体,称为,超导体
1918,介词,引进,对象
1963,分子,看,眼睛
1970,分子,分成,原子
1970,原子,分成,粒子
1972,分子,分解,原子
1972,原子,结合,分子
1979,分子,呈,气态
1979,分子,呈,固态
1981,原子,有,性质
1982,速度,呈,固态
1982,之间,呈,固态
1986,语法,表示,关系
2014,词组,连接,句子
2033,速度,有,关系
2035,变化,生,粒子
2035,变化,生,例子
2048,形态,发生,变化
2050,氧气,具有,性质
2051,物质,具有,特点
2052,压强,具有,规律
2053,回音壁,具有,现象
2082,容器,节省,材料
2125,时候,指,南方
2125,把儿,指,南方
2126,东西,指示,方向
2127,磁性,保持,时间
2128,鱼头,指,南方
2130,指南针,指示,方向
2131,南极,在,附近
2131,北极,在,附近
2140,一头,指向,南方
2155,一头,指,南方
2156,练习,改写,句子
2159,鱼头,指向,南方
2164,磁石,具有,特性
2180,方向,在,线上
2185,重力,属于,万有引力
2192,地球,有,作用
2194,万有引力,使,天体
2195,定律,应用,领域
2196,势能,转化,电能
2197,重力,属于,自然界
2197,重力,属于,适用
2197,重力,属于,实际
2202,语法,表示,内容
2207,中国人,发现,特性
2228,问题,上,月球
2229,引力,改写,句子
2229,变化,改写,句子
2232,压强,乘以,面积
2240,地球,具有,吸引力
2243,地球卫星,绕,地球
2244,引力,起,作用
2245,人造卫星,有,速度
2249,人造卫星,摆脱,引力
2253,气象卫星,选用,轨道
2256,卫星,采用,轨道
2258,侦察卫星,常用,轨道
2259,人类,建造,运载 火箭
2268,海水,发生,现象
2273,液体,传递,压强
2277,太阳,具有,吸引力
2284,地球卫星,环绕,地球
2284,引力,拉回,地面
2297,卫星,选用,轨道
2304,压缩,使,温度
2305,速度,超过,音速
2333,材料,用于,领域
2338,物质,伴随,变化
2351,飞行,需要,材料
2355,状态,发生,变化
2363,非金属,发现,元素
2369,非金属,有着,差别
2370,金属,呈,固态
2374,非金属,无,光泽
2376,非金属,具有,性质
2378,金属,具有,性质
2379,非金属,失去,差别
2379,非金属,失去,银白色
2381,命名,有,标志
2381,名称,有,标志
2381,元素,处于,状态
2386,指南针,指向,南方
2387,非金属,具有,颜色
2407,氧气,发生,反应
2426,温度,结合,分子
2426,金属,具有,延展
2426,电流,通过,输电线
2448,膨胀,使,位置
2454,温度,转换,频率
2464,结构,指示,形容词
2468,物质,进行,化学反应
2479,指南针,测量,温度
2479,卫星,指示,方向
2479,温度计,吸引,装置
2479,仪器,回答,问题
2486,硫酸,倒进,水里
2495,硫酸,起,反应
2500,硫酸,溅到,身上
2535,硫酸,倒入,水中
2560,蜜蜂,建成,结构
2560,蜂窝,建成,结构
2562,形式,强调,意思
2577,关系,学习,汉语
2613,通信,需要,器件
2624,物质,改变,形态
2638,物质,发生,变化
2638,变化,叫做,化学变化
2672,雷达,相当于,对象
2718,雷达,有,关系
2751,时候,说,汉语
2775,光线,转化,信号
2777,影像,变成,信息
2873,能量,出现,彩带
2881,程度,取决于,大小
2884,能量,哺育,生物
2884,太阳,哺育,生物
2889,能量,来自于,反应
2890,内部,进行,过程
2895,物质,转化,能量
2897,程度,取决于,介词
2898,物质,转化,介词
2907,石墨,像,金属
2910,中国,发射,人造地球卫星
2916,人造地球卫星,发射,高空
2922,合金,加热,温度
2929,物体,有,压力
2932,二氧化碳,跑,气泡
2938,速度,环绕,地球
2962,人类,探索,宇宙空间
2962,人类,迈向,太空
2963,太空,依靠,作用力
2967,人类,登上,月球
2981,酒精,变成,固体
2982,机能,产生,压力
2994,现象,有,电阻
2994,物质,有,电阻
2995,温度,降低,附近
2998,合金,具有,特性
2999,导体,称为,超导体
2999,电阻,发生,变化
2999,温度,称为,临界温度
3002,电流,流经,超导体
3004,输电线,输送,电流量
3004,电线,输送,电流量
3010,超导体,进入,阶段
3013,材料,引起,革命
3022,制造厂,生产,汽车
3035,小鸟,在,附近
3046,电流,碰到,地面
3050,太阳光,还有,可见光
3051,红外线,称为,射线
3054,外侧,存在,光线
3055,物质,产生,红外线
3056,常用,用于,领域
3059,臭氧层,有,作用
3060,紫外线,透过,空气
3060,玻璃,有,作用
3072,技术,得到,解决
3089,房主,回答,问题
3103,计算机,进行,联系
3106,大部分,称为,硬件
3108,软件,指,系统
3109,软件,提高,效率
3110,关系,好像,乐器
3113,软件,构成,系统
3130,技术,获得,应用
3141,紫外线,使,质量
3152,后面,靠近,眼睛
3157,目镜,相当于,放大镜
3161,光,绕过,物质
3163,显微镜,看到,东西
3176,电视机,出现,现象
3178,电视机,消除,现象
3184,技术,使,光阑
3200,小数,定义,无理数
3203,理论,加以,发展
3204,学派,重视,数学
3208,后人,称为,无理数
3208,小数,称为,无理数
3209,无理数,统称,实数
3212,光,分解,色光
3221,电视机,成为,工具
3225,荧光粉,发出,光
3228,宇宙飞船,又称,飞船
3230,飞船,用于,运输
3231,各国,重视,研究
3234,宇宙飞船,有,相似之处
3243,台灯,调节,光
3243,调节器,调节,电压
3266,核能,属于,能源
3269,核燃料,具有,优点
3283,列车,有,类型
3288,二氧化碳,具有,功能
3289,含量,保持,恒定
3290,二氧化碳,处于,状态
3292,二氧化碳,转化,物质
3294,二氧化碳,超过,水平
3295,二氧化碳,转化,有机物
3297,气体,还有,一氧化氮
3315,温度,达到,程度
3322,彗星,靠近,太阳
3323,颗粒,发生,摩擦
3327,形状,有,特性
3338,动物,有,形式
3341,对称,保持,平衡
3347,方程,表示,关系
3347,式子,叫做,等式
3348,等式,具有,性质
3350,等式,叫做,方程
3363,动点,在,位置
3367,圆心,在,原点
3371,曲线,叫做,图形
3372,坐标,满足,方程
3380,直线,相交,直角
3382,直线,叫做,平行线
3384,四边形,具有,性质
3387,四边形,叫做,梯形
3390,线段,叫做,线
3392,OA,绕,端点
3392,端点,画出,曲线
3394,线段,称为,半径
3401,直线,称为,切线
3403,转化,叫做,变化
3404,物质,变成,液态
3406,温度,叫做,熔点
3407,物质,变成,气态
3410,现象,叫,蒸发
3411,现象,叫,沸腾
3412,温度,叫,沸点
3413,物质,叫做,催化剂
3414,作用,叫做,催化作用
3421,表面,生成,化合物
3436,周长,有,关系
3457,曲线,表示,情况
3485,物质,处于,状态
3512,关系,有,方法
3530,实验室,制取,氧气
3532,步骤,放入,混合物
3560,方程,含有,未知数
3572,顺序,常用,格式
3577,方程,化成,形式
3587,牛顿,发现,定律
3597,氯酸钾,加热,温度
3601,重量,小于,浮力
3612,实验室,测,比重
3615,物体,做,运动
3620,月球,围绕,地球
3622,位置,参照,物体
3627,静止,参照,物体
3628,物体,叫做,参照物
3635,物体,保持,状态
3637,性质,叫做,惯性
3639,惯性,保持,状态
3640,惯性,保持,速度
3641,物体,具有,惯性
3646,炮弹,改变,方向
3652,领域,应用,材料
3653,火箭,具有,推动力
3655,地球,绕,太阳
3658,外力,迫使,物体
3660,运动,指,变化
3661,运动,常用,格式
3664,物体,移动,地方
3669,月球,绕,地球
3677,数学,有,关系
3679,自然科学,有,关系
3686,人造卫星,绕,地球
3707,比值,叫做,加速度
3708,加速度,有,大小
3711,定律,确定,关系
3720,物体,处于,状态
3722,物体,吸引,地球
3726,定律,说明,关系
3727,作用力,具有,性质
3728,定律,说明,物体
3732,比值,叫做,比重
3734,作用,常用,格式
3734,温度,有,有影响
3734,温度,有,影响
3735,二氧化锰,影响,速度
3738,物体,受,作用
3747,m1,表示,质量
3764,原子,具有,结构
3781,伦琴,进行,研究
3782,射线,有,能力
3794,定语,有,类型
3796,电流,通过,导体
3801,化合物,叫做,电解质
3803,强度,变为,性质
3808,技术,叫做,照相
3827,设备,称为,计算机
3833,四边形,叫做,正方形
3834,激光,具有,特性
3835,能量,处于,空间
3845,函数,等于,ax²
3845,坐标系,画,垂直
3847,单位,取,相同
3848,交点,叫做,原点
3851,平面,分成,部分
3853,函数,研究,问题
3857,图形,在,上方
3865,ax²,位于,下方
3871,生物,受到,伤害
3875,地球,吸引,苹果
3875,苹果,吸引,地球
3876,电能,转化,能量
3876,能量,转化,电能
3890,物体,叫做,运动
3895,超导材料,用于,计算机
3899,位置,常用,格式
3927,定律,解决,问题
3931,电流,流过,导线
3937,图像,有,关系
3942,实数,有,关系
3951,树木,吸收,太阳光
3954,规律,叫做,定律
3956,定律,起,作用
3957,性质,呈现,变化
3959,金属,发生,反应
3964,反应,发生,爆炸
3969,注释,表示,时间
3975,地球,吸引,物体
3976,物质,失去,电子
3976,物质,得到,电子
3984,压力,增加,强度
3988,物质,含有,杂质
3990,二氧化碳,形成,气泡
3995,沸腾,有,关系
4013,聚变,释放,能量
4017,动植物,离开,空气
4019,原子,结成,分子
4026,性质,呈现,周期性
4030,硫酸,有,作用
4032,化学反应,叫做,反应
4040,法拉第,发现,现象
4041,下面,演示,现象
4042,管中,产生,电流
4047,周围,存在,磁场
4047,磁场,做,运动
4048,磁场,产生,电流
4049,导体,做,运动
4053,前人,研究,现象
4054,周围,产生,磁场
4061,人类,进入,时代
4068,中国,发射,地球卫星
4081,行为,稀释,硫酸
4085,电,输送,远处
4088,练习,完成,句子
4092,飞船,找出,结构
4095,电流,输送,远处
4096,物体,变为,Vt
4096,速度,变为,Vt
4101,物理学,得到,发展
4107,人类,飞出,大气层
4108,宇航员,征服,太空
4113,宇航服,有,作用
4114,宇宙射线,造成,伤害
4139,汽车,节省,能源
4140,汽车,得到,发展
4141,能量,相当于,石油
4158,光,绕,地球
4161,材料,达到,水平
4165,牛顿,总结,规律
4166,函数,具有,性质
4170,物理学家,研究,关系
4170,欧姆,研究,关系
4178,上面,发生,反应
4185,实验,变成,分子
4188,霍尔尔,存在,光线
4192,牛顿,研究,定律
4195,图像,具有,性质
4196,门捷列夫,呈现,变化
4227,船舱,完成,句子
4242,真空,指,空间
4242,能量,处于,状态
4252,气体,包括,一氧化氮
4277,形状,有,作用
4280,空气,流到,前缘
4287,发动机,提供,动力
4289,形状,使,表面
4297,记录器,记录,信息
4300,黑匣子,具有,结构
4342,薄膜,使,光
4350,超声波,穿透,金属
4351,技术,产生,功率
4374,空气,呈,蓝色
4378,氮气,发生,作用
4379,氮气,发生,化学反应
4384,气体,发生,化学反应
4389,气体,发出,光
4404,课文,选择,答案
4408,空气,有,用途
4420,氧气,生成,热量
4424,氢气,加,氯气
4428,三氧化钨,加,氢气
4432,氯气,发生,反应
4435,火焰,用于,切割
4483,电流,通过,人体
4508,能力,来自,大脑
4525,元件,代表,数字
4528,计算机,使用,二进制
4539,操作系统,管理,资源
4540,软件,提供,功能
4543,软件,指,资料
4558,氢氧化,修饰,正式
4568,光,叫,激光
4573,光,显示,颜色
4574,激光,具有,性质
4585,光,具有,特性
4590,光,发现,原理
4592,光,射向,介质
4592,光,实现,放大
4593,理论,奠定,基础
4597,激光,引入,领域
4598,梅曼,制成,激光器
4600,发展,使,技术
4600,激光,称为,光
4610,发展,导致,出现
4618,绿色植物,吸收,二氧化碳
4618,氧气,扩散,上层
4618,氧气,变成,臭氧
4621,紫外线,促进,合成
4623,臭氧层,保护,生物
4625,现象,引起,关注
4629,洗涤剂,破坏,结构
4639,生物,失去,免疫力
4647,硫氧化物,达到,浓度
4652,氢氧化物,形成,恶性肿瘤
4653,颗粒,引发,疾病
4656,汽油,排放,气体
4661,物体,放大,影像
4664,显微镜,有,极限
4665,物质,有,组成部分
4670,光,变成,圆弧
4671,显微镜,没有,改进
4676,显微镜,分辨,结构
4677,光,遇到,东西
4685,物体,发射,无线电波
4692,程度,超过,望远镜
4700,望远镜,起,作用
4706,画面,分解,像素
4731,整数,看成,形式
4739,小数,叫做,无理数
4793,空气,发生,电离
4795,霓虹灯,发出,光
4810,遥控器,分,部分
4829,电视,做,反应
4853,人类,利用,空间站
4858,系统,包括,部分
4865,系统,实现,导航
4868,卫星,发射,信号
4870,系统,进行,定位
4880,超级市场,使用,系统
4881,计算机,查询,售价
4882,计算机,报出,总价
4892,商场,使用,系统
4920,信息,转换,坐标
4921,电脑,显示,信息
4928,核反应堆,采用,芯块
4929,芯块,阻止,物质
4931,核燃料,逸出,物质
4935,厂房,采用,结构
4949,燃料电池,包括,核电
4951,物质,发生,化学反应
4965,电池,供给,氧化剂
4970,过程,经过,燃烧
5001,电流,通过,线圈
5002,发电机,形成,电流
5010,研究,取得,进展
5028,人类,面临,危机
5031,减少,有,关系
5035,燃料,释放,二氧化碳
5037,影响,成为,话题
5042,燃烧,释放,二氧化碳
5053,地表,发生,变化
5081,行星,包括,海王星
5092,月亮,转到,中间
5093,月球,挡住,太阳光
5112,图形,具有,优点
5113,图形,具有,性质
5134,物体,发生,作用
5135,起重机,提起,重物
5135,起重机,发生,作用
5137,物体,施加,作用
5143,物体,受到,作用力
5168,下面,研究,问题
5169,面积,大于,SB
5176,等式,乘以,正数
5176,两边,乘以,正数
5178,等式,含有,未知数
5188,两边,加上,整数
5202,轨迹,叫做,椭圆
5208,方程,包含,意思
5220,四边形,叫做,矩形
5222,矩形,还有,性质
5223,命题,叫做,推论
5235,正方形,具有,性质
5245,四边形,叫,菱形
5270,面积,得到,公式
5270,面积,得到,cl
5275,平面,截去,部分
5333,不锈钢,具有,特性
5336,下面,结合,图形
5352,极限,研究,函数
5377,极限,看,函数
5382,趋势,趋近,无穷
5391,原子,称为,元素
5402,化合物,叫做,氧化物
5412,符号,表示,元素
5424,名称,表示,金属元素
5435,工业生产,需要,氧气
5437,水中,溶解,氧气
5440,氧气,发生,化学反应
5457,燃烧,达到,温度
5458,温度,叫做,燃点
5461,燃烧,有,条件
5461,温度,达到,燃点
5466,燃烧,叫做,自燃
5475,氧气,化合,氧化物
5479,燃烧,指,反应
5484,燃烧,具有,条件
5488,物体,经过,路线
5494,长度,叫做,路程
5511,方向,发生,改变
5511,方向,发生,运动
5519,作用,使,物体
5530,物体,保持,静止
5532,小车,受到,作用
5536,牵引力,使,速度
5536,阻力,使,速度
5537,火车,保持,运动
5538,降落伞,受到,重力
5539,物体,保持,运动
5543,物体,受到,外力
5551,物体,改变,状态
5569,起重机,举到,高度
5577,功率,等于,乘积
5585,大小,等于,乘积
5595,功率,有,关系
5597,电流,使,电动机
5598,电能,转化,势能
5604,库仑,通过,电流
5607,电流,通过,电动机
5617,功率,等于,电压
5618,功率,看到,字样
5639,粒子,叫做,中子
5647,质量,取,整数
5655,元素,存在,原子
5661,元素,有,同位素
5676,中子,存在,吸引力
5706,计算机,影响,速度
5724,射线,叫做,极轴
5749,课文,看,例子
5753,图像,叫做,曲线
5774,物体,具有,动能
5780,物体,叫做,势能
5782,大小,发生,改变
5783,物体,有,动能
5784,飞机,具有,势能
5787,势能,转化,动能
5788,人造卫星,进行,转化
5793,动能,转化,势能
5802,飞机,有,动能
5812,元素,排成,横行
5812,顺序,排成,横行
5817,元素,称为,周期
5819,周期,只有,元素
5819,周期,有,元素
5821,周期,发现,元素
5837,元素,分为,周期
5848,磁场,拉,导线
5849,现象,叫做,效应
5859,性质,有,关系
5870,课文,取,导线
5870,作用,取,导线
5871,导线,受到,作用
5873,方向,有,关系
5874,线,直穿,手心
5919,包壳管,包括,类型
5919,包壳管,包括,描述
5919,拉伸,包括,类型
5919,拉伸,包括,描述
5919,迷失,包括,类型
5919,迷失,包括,描述
5919,商品,包括,类型
5919,商品,包括,描述
5919,纤细,包括,类型
5919,纤细,包括,描述
5944,二氧化碳,变成,液体
5967,现象,叫,升华
6006,沸点,受到,影响
6059,中间,有,空隙
6065,多边形,符合,条件
6067,丁力,符合,条件
6080,活塞,受到,压力
6091,冬天,有,暖气
6096,冷空气,变成,空气
6099,空气,形成,对流
6115,分子,运动,地方
6119,固体,分散,分子
6121,分子,受到,吸引
6155,容器,省,材料
6160,地球,有,北极
6162,地磁极,在,附近
6165,一头,指向,方向
6168,两头,指向,南方
6177,物体,有,重量
6178,空气,有,重量
6180,物体,受到,吸引
6181,物体,离开,地面
6185,地球,有,重量
6185,吸引力,有,重量
6192,物体,受到,月球
6195,引力,使,苹果
6196,引力,使,月球
6200,小球,做,运动
6203,小球,具有,速度
6205,月球,环绕,地球
6206,地球,起,作用
6210,摩擦力,阻止,移动
6214,物质,具有,特性
6214,物质,叫做,合金
6222,性质,符合,要求
6238,非金属,发现,化学元素
6238,人类,发现,化学元素
6238,元素,分为,大类
6238,元素,分为,非金属
6242,性质,像,非金属
6244,非金属,像,金属
6246,导电性,有,关系
6247,电阻,有,关系
6252,金属,变成,非金属
6252,非金属,变成,金属
6253,非金属,具有,特性
6257,酒精,具有,特点
6260,物质,有,性质
6261,物质,凝固,固体
6261,物质,变成,气体
6262,酒精,具有,特性
6262,酒精,具有,原因
6263,升降,引起,变化
6264,酒精,凝结,固体
6266,吸水性,装,硫酸
6272,物质,发生,反应
6274,硫酸,使,有机物
6276,硫酸,发生,反应
6278,硫酸,氧化,氧化铜
6279,氧化物,使,金属
6293,老师,回答,问题
6295,光波,传输,信息
6298,信息,传到,方式
6308,人类,发射,卫星
6309,卫星,受到,辐射
6314,鳞片,具有,作用
6318,年代,出现,合金
6321,合金,发生,形变
6321,结构,发生,形变
6325,合金,有,温度
6331,表面,包含有,元件
6341,光线,通过,介质
6341,光线,改变,方向
6341,现象,叫做,散射
6344,光线,受到,阻碍
6352,颜色,有所,变化
6354,火箭,不用,燃料
6354,物质,变成,等离子体
6359,推力,获得,速度
6361,物质,叫做,超导体
6362,超导体,转变,温度
6364,超导体,需要,温度
6365,温度,提高,-57℃
6367,导体,有,电阻
6367,电流,烧坏,设备
6374,飞行员,注意,上下方
6384,物质,吸收,热量
6386,物体,伴随,运动
6387,物体,具有,能力
6388,红外线,碰到,物体
6391,技术,具有,优点
6392,内部,进行,反应
6393,热量,到达,地球
6396,各国,利用,太阳能
6400,太阳能,转换,电能
6400,太阳能,转换,电池
6401,太阳能,成为,能源
6404,系统,采集,图象
6407,设备,基于,技术
6410,技术,分为,辨识
6412,验证,回答,问题
6416,辨识,回答,问题
6421,芯片,采用,技术
6438,光,有,宽度
6440,激光,具有,方向性
6441,光,照亮,地方
6443,人类,发出,激光束
6445,人类,利用,激光
6445,特性,开创,新纪元
6456,样子,像,眼睛
6460,眼睛,靠近,猫眼
6466,固体,有,体积
6466,液体,没有,体积
6466,气体,没有,体积
6475,技术,有,发展
6478,科学家,寻求,技术
6479,物质,存在,现象
6483,有理数,叫做,整数
6491,乙地,低于,海平面
6500,距离,叫做,绝对值
6512,位置,表示,距离
6530,颜色,受到,影响
6559,人类,建立,基地
6559,人类,飞往,星球
6561,人类,到,月球
6568,环境,利于,发射
6569,月球,还有,环境
6572,中国,掌握,技术
6582,不倒翁,处于,平衡
6603,能源,成为,危机
6604,太阳能,看作,能源
6607,绝大部分,来自,太阳
6608,能量,提供,能源
6613,内部,蕴藏,能源
6622,核能,成为,能源
6671,上海,建成,线
6672,地球,存在,生命
6682,行星,缺少,氧气
6714,时间,有,时间差
6715,太阳,经过,天空
6715,太阳,经过,最高点
6753,笛卡尔,注重,问题
6777,半径,绕,圆心
6779,角度,叫做,速度
6785,大小,等于,路程
6795,速度,等于,乘积
6809,线,叫做,对角线
6826,投影,组成,三角形
6832,中心,连,线
6860,风机,吸入,空气
6882,化学性质,叫做,催化剂
6885,方程,遇到,变量
6900,图像,简称为,直线
6931,氯酸钾,生成,氧气
6932,氢气,起,反应
6932,氢气,起,氧化铜
6935,盐酸,起,反应
6936,化合物,起,反应
6946,氢气,发生,反应
6960,实验室,常用,方法
6965,地球,像,航船
6985,定律,研究,关系
7014,影响力,超过,博客
7017,网站,提供,条件
7043,直线,有,交点
7045,平面,相交,交点
7050,直线,叫做,线
7070,抛物线,位于,上方
7072,定律,叫做,动量
7075,物体,发生,变化
7075,动量,发生,变化
7080,全体,叫做,系统
7082,后者,叫做,外力
7084,系统,受到,外力
7085,系统,受,外力
7085,动量,保持,不变
7085,结论,叫做,定律
7088,物体,在,一起
7088,物体,发生,接触
7089,定律,限于,物体
7091,定律,成为,工具
7094,物体,保持,不变
7115,现象,叫做,感应
7120,拇指,指向,方向
7125,方向,发生,变化
7126,电流,叫做,交流电
7127,方向,完成,变化
7127,时间,叫做,周期
7128,电流,发生,变化
7130,导体,产生,电流
7141,听写,发现,现象
7148,人类,移居,太空
7148,人类,发射,探测器
7149,人类,搬到,太空
7152,条件,调至,适当
7154,人类,进入,太空
7155,环境,产生,影响
7157,人类,乘坐,宇宙飞船
7172,里面,装有,系统
7173,宇航服,集,高新技术
7186,事物,发生,变化
7186,行为,发生,变化
7196,结果,受,影响
7223,电影,发现,画面
7232,花卉,激发,变化
7232,花卉,利用,影响
7238,人类,食用,价值
7273,练习,选择,答案
7277,情感,利用,影响
7282,东亚,存在,危险
7300,花色,有,关系
7341,练习,回答,问题
7409,父爱,起到,作用
7412,资料,有,花朵
7420,自然界,使,植物
7424,发现,来自,研究
7441,意思,进行,说明
7467,数据,说明,问题
7475,文章,让,文字
7483,秋天,起到,作用
7520,句子,补充,经济危机
7582,松鼠,面临,灭绝
7605,时候,起,作用
7605,拇指,起,作用
7649,练习,完成,表格
7651,科技,涌现,人才
7658,动物,面临,危险
7659,科学家,进行,调查研究
7662,松鼠,有,皮毛
7663,松鼠,具有,特性
7663,松鼠,没有,共同点
7665,松鼠,带到,英国
7666,松鼠,处于,弱势
7668,疱疹,传染,松鼠
7675,动物,考虑,后果
7679,动物,有,措施
7703,句子,表示,事情
7703,句子,表示,措施
7735,信天翁,做,航行
7800,下面,加以,解释
7804,联系,称为,联想
7805,记忆,为,基础
7809,作者,提供,结果
7813,对象,划分,类别
7826,数字,有,根据
7838,世界,具有,作用
7838,大气,具有,作用
7846,自然界,降解,污染
7847,研究,发现,途径
7848,物质,吸收,能量
7851,自由基,发生,化学反应
7888,现象,得到,扭转
7931,孩子,得到,发展
7943,植物,具有,作用
7944,植物,净化,环境
7945,二氧化硫,形成,离子
7953,大小,有,关系
7955,植物,吸收,二氧化碳
7959,植物,吸收,氮氧化物
7960,生物圈,在,海洋
7966,微生物,需要,太阳能
7966,多数,需要,太阳能
7968,日本,设置,实验室
8014,政党,明了,意思
8022,组织,形成,结晶体
8023,周围,附着,薄膜
8025,办法,避免,发生
8029,基因,发生,作用
8030,分句,表示,结果
8041,父母,创造,环境
8059,基因,起,作用
8066,资料,产生,甲烷
8067,研究,意味,可能
8071,气体,作为,能量
8071,太阳,作为,能量
